recovery_strategy,fault_type,prompt_length_label,concurrency_level,total_requests,successful_requests,failed_requests,success_rate,p50_latency_s,p95_latency_s,p99_latency_s,mean_latency_s,mean_recovery_time_s,mean_recomputation_fraction,throughput_req_per_s,mean_ttft_s,p95_ttft_s,total_duration_s
fail_stop,none,short,1,20,20,0,1.0,0.8017583961065042,0.8720884828160032,0.8806802464440919,0.8044057198984758,0.0,0.0,1.2431537658186376,0.012000000000000002,0.012,16.088114397969516
fail_stop,none,short,4,20,20,0,1.0,0.9425012055394846,1.0075563646748256,1.0174990380725177,0.9466637869575152,0.0,0.0,1.0563412414465383,0.012000000000000002,0.012,18.933275739150304
fail_stop,none,short,8,20,20,0,1.0,1.0899321066541106,1.1613288176184688,1.1939264395027316,1.0813843203480513,0.0,0.0,0.924740613616356,0.012000000000000002,0.012,21.627686406961026
fail_stop,none,medium,1,20,20,0,1.0,0.8232597731588223,0.9229527171186208,0.9273811615588947,0.8324488097950947,0.0,0.0,1.2012750672153447,0.012000000000000002,0.012,16.648976195901895
fail_stop,none,medium,4,20,20,0,1.0,0.943011882736897,0.9692274892407786,0.9694312082095139,0.9293751304068009,0.0,0.0,1.0759917790230582,0.012000000000000002,0.012,18.587502608136017
fail_stop,none,medium,8,20,20,0,1.0,1.0953145960594113,1.1928815798647547,1.2093829149536954,1.0931117749012433,0.0,0.0,0.9148195298185344,0.012000000000000002,0.012,21.862235498024866
fail_stop,none,long,1,20,20,0,1.0,0.8184754142262727,0.8631656714899084,0.8698372755851871,0.8150160018456217,0.0,0.0,1.226969774426673,0.012000000000000002,0.012,16.300320036912435
fail_stop,none,long,4,20,20,0,1.0,0.927315551413052,0.9707518694640974,0.9773689501765319,0.9243694324979644,0.0,0.0,1.0818185508834544,0.012000000000000002,0.012,18.48738864995929
fail_stop,none,long,8,20,20,0,1.0,1.0946325509879986,1.1570770665973815,1.186875102828919,1.0912144218386093,0.0,0.0,0.9164101756181514,0.012000000000000002,0.012,21.824288436772186
fail_stop,kill,short,1,20,10,10,0.5,0.5931564657002484,0.861242396705822,0.8708426740836721,0.5766707621088079,0.0,0.0,0.8670458653534203,0.012000000000000002,0.012,11.533415242176158
fail_stop,kill,short,4,20,13,7,0.65,0.8849544300276247,0.9738610036174679,0.9932122913187362,0.7181631712093522,0.0,0.0,0.9050867908753618,0.012000000000000002,0.012,14.363263424187044
fail_stop,kill,short,8,20,16,4,0.8,1.0504623604907852,1.165860739025197,1.1954851255729306,0.9211273868956666,0.0,0.0,0.8685009384561796,0.012000000000000002,0.012,18.422547737913334
fail_stop,kill,medium,1,20,16,4,0.8,0.7984949136254402,0.8759461228939335,0.8826269802995774,0.7152704735250714,0.0,0.0,1.1184580233005184,0.012000000000000002,0.012,14.305409470501429
fail_stop,kill,medium,4,20,16,4,0.8,0.9296914889739936,1.008284113173477,1.008612693467211,0.8240266049028163,0.0,0.0,0.9708424402702482,0.012000000000000002,0.012,16.480532098056326
fail_stop,kill,medium,8,20,13,7,0.65,1.0207202709979861,1.1426524145416876,1.202202655425373,0.8154686383602436,0.0,0.0,0.7970876737420278,0.012000000000000002,0.012,16.309372767204874
fail_stop,kill,long,1,20,15,5,0.75,0.8154379955665789,0.8673354301616133,0.8750603966637384,0.6854369719547797,0.0,0.0,1.0941925087676334,0.012000000000000002,0.012,13.708739439095595
fail_stop,kill,long,4,20,13,7,0.65,0.9165007871273567,1.0039104496974065,1.0145804240653598,0.7464810822181591,0.0,0.0,0.8707521401948936,0.012000000000000002,0.012,14.929621644363182
fail_stop,kill,long,8,20,17,3,0.85,1.0744602885946453,1.1389009054572685,1.1405508167723977,0.9673223312872441,0.0,0.0,0.8787143359183536,0.012000000000000002,0.012,19.346446625744882
fail_stop,delay,short,1,20,20,0,1.0,0.8357231772310998,1.5489003182241112,1.5724071087742428,1.0014850271560356,0.6254363246570961,0.0,0.9985171748296842,0.19963089739712886,0.7489003182241114,20.02970054312071
fail_stop,delay,short,4,20,20,0,1.0,0.9929914369910477,1.6092566459042863,1.6931647254227273,1.1959094544772846,0.5713785474615959,0.0,0.8361837062282252,0.2691203463577181,0.6874566459042865,23.91818908954569
fail_stop,delay,short,8,20,20,0,1.0,1.1367619495588337,1.8088888770946825,1.8405997399856708,1.3087249936981837,0.5525852012452644,0.0,0.7641024697908485,0.23303408049810576,0.7246888770946825,26.174499873963676
fail_stop,delay,medium,1,20,20,0,1.0,0.8193930519216515,1.366797285837437,1.4646797995728145,0.9314030166965731,0.5211464578193187,0.0,1.0736490885471242,0.14228661445482968,0.5667972858374372,18.62806033393146
fail_stop,delay,medium,4,20,20,0,1.0,0.9929007793973281,1.6078375194083478,1.691186170154465,1.121299317138209,0.5117783658499919,0.0,0.8918225354026064,0.19112242804749716,0.6860375194083478,22.42598634276418
fail_stop,delay,medium,8,20,20,0,1.0,1.1527725523780896,1.8114088954698697,1.8579327407625628,1.3046017849928513,0.5074209797369788,0.0,0.7665174242936926,0.2149683918947915,0.7272088954698698,26.092035699857025
fail_stop,delay,long,1,20,20,0,1.0,0.8429981760699625,1.493659039909973,1.5206893452289336,0.9746827125253648,0.5464529012052127,0.0,1.0259749014710033,0.17593587036156383,0.6936590399099729,19.493654250507294
